icon,hits
pocket,2456
pilcrow-left,2454
rotate-cw-square,2453
receipt-japanese-yen,2450
test-tubes,2446
mic-off,2444
user-x,2442
ticket-plus,2442
clipboard-x,2441
vault,2439
circle-arrow-out-down-left,2436
circle-arrow-out-down-right,2428
clipboard-pen,2427
package-search,2424
square-arrow-right,2422
pocket-knife,2421
lamp-wall-down,2419
git-branch-minus,2412
flip-horizontal,2412
message-circle-reply,2411
file-braces,2405
navigation-2-off,2404
image-upscale,2401
monitor-up,2399
wind-arrow-down,2396
square-arrow-down,2394
badge,2392
clock-fading,2388
sunset,2387
skip-back,2384
tickets,2383
toggle-left,2382
file-braces-corner,2380
pilcrow-right,2377
clock-plus,2377
clock-1,2376
map-pin-x,2376
fuel,2376
lamp-ceiling,2370
square-arrow-up,2369
radiation,2365
file-cog,2361
kayak,2356
git-pull-request-arrow,2356
minimize,2353
square-mouse-pointer,2352
dna,2352
folder-check,2352
mouse-off,2351
tram-front,2350
cross,2348
folder-minus,2343
chevron-last,2339
rocking-chair,2329
twitch,2327
lamp-floor,2320
circle-chevron-right,2320
scan-qr-code,2319
remove-formatting,2315
message-square-text,2315
message-square-share,2313
square-arrow-up-left,2311
list-restart,2310
table,2305
message-circle-dashed,2303
circle-parking,2297
frown,2296
list-video,2292
shield-user,2286
pi,2285
square-stack,2285
list-minus,2283
octagon-x,2282
chevrons-down-up,2281
folder-key,2281
file-clock,2281
panda,2279
folder-input,2272
square-arrow-out-up-right,2270
circle-stop,2269
square-arrow-down-left,2264
user-round-pen,2261
flip-horizontal-2,2261
message-circle-question-mark,2261
folder-symlink,2260
square-arrow-up-right,2256
folder-lock,2255
webhook-off,2254
folder-archive,2253
send-to-back,2253
file-headphone,2252
triangle-right,2249
bus-front,2248
server-cog,2248
usb,2247
folder-clock,2245
tally-2,2245
pilcrow,2243
message-square-dot,2242
square-dashed-bottom-code,2241
list-todo,2240
laugh,2238
clipboard-type,2233
ribbon,2232
undo-2,2231
waves-arrow-up,2229
square-pilcrow,2228
square-pi,2227
cookie,2226
circle-chevron-left,2225
file-x,2223
hand-metal,2220
ham,2220
repeat,2219
tally-4,2215
chevrons-down,2212
mail-minus,2211
clock-5,2203
pc-case,2203
diameter,2202
smartphone-nfc,2200
square-arrow-down-right,2199
git-pull-request-create,2197
replace,2196
flip-vertical,2192
git-pull-request-create-arrow,2188
square-parking-off,2185
salad,2185
scaling,2185
japanese-yen,2184
square-round-corner,2184
lamp,2183
square-dashed-bottom,2183
leafy-green,2182
croissant,2173
tally-3,2172
tree-pine,2171
power-off,2167
toggle-right,2166
zoom-out,2163
tornado,2161
git-pull-request-closed,2161
rail-symbol,2161
file-code-2,2156
wifi-off,2154
delete,2153
grip,2150
panel-left-open,2149
map-pin-pen,2148
receipt-pound-sterling,2147
chevrons-right-left,2146
wine,2144
clock-9,2143
wifi-cog,2138
parking-meter,2135
copy-check,2135
rectangle-goggles,2133
square-arrow-left,2133
heading-4,2132
image-minus,2131
tally-5,2131
snail,2130
flip-vertical-2,2129
heading-2,2127
file-minus-corner,2120
locate,2119
waves-arrow-down,2118
heading-3,2116
folder-up,2113
vibrate,2110
refresh-ccw-dot,2110
message-square-dashed,2108
redo-dot,2107
circle-chevron-down,2106
heading,2106
house-wifi,2105
map-plus,2105
bean,2104
file-up,2102
file-archive,2100
square-chevron-left,2097
message-square-lock,2097
navigation-off,2096
phone-off,2091
file-spreadsheet,2087
ice-cream-bowl,2085
hash,2083
user-star,2081
equal-approximately,2077
gamepad,2072
message-circle-plus,2072
file-x-corner,2070
circle-divide,2070
file-terminal,2069
layers-plus,2068
panel-bottom-open,2064
wand-2,2063
folder-pen,2062
wand-sparkles,2061
strikethrough,2060
clock-8,2058
citrus,2054
contrast,2052
pipette,2049
sandwich,2049
user-round-check,2048
weight-tilde,2044
toy-brick,2042
vector-square,2041
spell-check-2,2041
file-type,2040
radar,2033
mars-stroke,2031
bus,2029
orbit,2026
folder-output,2025
rotate-ccw-key,2024
table-properties,2021
redo-2,2019
rabbit,2019
venetian-mask,2010
sword,2010
soap-dispenser-droplet,2004
square-slash,2002
non-binary,1997
tally-1,1996
square-function,1995
section,1993
carrot,1992
file-digit,1992
scan-text,1992
clock-6,1984
table-2,1984
webhook,1983
dribbble,1982
squirrel,1981
monitor-off,1978
receipt-russian-ruble,1975
folder-root,1971
cloud-download,1971
heading-5,1970
soup,1968
git-pull-request-draft,1961
waves-ladder,1960
diff,1954
panel-top-open,1954
squircle-dashed,1953
rectangle-circle,1950
spline-pointer,1949
wifi-sync,1946
spade,1946
cannabis,1945
ungroup,1941
panel-top-close,1940
spell-check,1939
currency,1932
clipboard-pen-line,1932
stone,1930
monitor-speaker,1928
heading-1,1928
step-forward,1926
folder-x,1925
timer-off,1922
star-half,1921
square-menu,1917
tool-case,1906
square-bottom-dashed-scissors,1906
fold-horizontal,1904
loader-2,1902
mouse-pointer-click,1900
move-vertical,1895
mail-search,1895
panel-left-close,1895
square-scissors,1891
stamp,1886
phone-outgoing,1884
mail-open,1884
mail-x,1881
text-initial,1877
git-compare-arrows,1877
table-columns-split,1874
heart-crack,1872
message-square-reply,1871
folders,1868
touchpad-off,1863
squares-subtract,1859
server-off,1857
folder-closed,1854
lasso-select,1852
octagon-alert,1852
panels-right-bottom,1851
file-key,1850
heading-6,1849
shrub,1848
clover,1847
italic,1842
panel-bottom-close,1837
git-graph,1834
save-off,1833
table-rows-split,1829
git-compare,1826
drumstick,1818
unfold-vertical,1817
check-square,1816
chevron-first,1816
navigation-2,1816
mouse-pointer,1815
user-round-x,1815
ghost,1809
screen-share,1806
pointer-off,1806
tree-deciduous,1805
calendars,1804
list-music,1798
user-minus,1797
panel-right-close,1796
lightbulb-off,1794
shovel,1793
tablets,1792
train-track,1791
move-horizontal,1788
church,1787
square-x,1784
ice-cream-cone,1776
square-code,1774
phone-forwarded,1770
list-tree,1768
lectern,1767
funnel-plus,1766
georgian-lari,1763
radical,1757
philippine-peso,1753
squares-unite,1749
squares-exclude,1744
whole-word,1741
list-x,1739
rectangle-vertical,1737
phone-incoming,1733
panels-left-bottom,1730
lasso,1728
spool,1728
grape,1727
save-all,1727
clipboard-paste,1726
square-m,1719
microwave,1719
receipt-swiss-franc,1718
logs,1717
satellite,1712
forklift,1707
pound-sterling,1698
square-radical,1694
meh,1692
file-signal,1692
goal,1692
tractor,1690
square-arrow-out-up-left,1687
hand-grab,1687
option,1685
file-symlink,1677
ligature,1676
list-indent-decrease,1675
squares-intersect,1674
sliders-vertical,1673
underline,1671
server-crash,1667
triangle,1666
sheet,1664
list-indent-increase,1664
podcast,1659
russian-ruble,1658
list-end,1658
file-scan,1655
square-dashed,1653
signpost,1651
globe-x,1648
octagon-pause,1640
globe-2,1639
creative-commons,1638
package-minus,1638
space,1633
nfc,1633
vegan,1633
move-diagonal-2,1632
radius,1630
plug-2,1628
square-check,1626
unlink-2,1625
clipboard-copy,1620
circle-equal,1620
receipt-turkish-lira,1615
wifi-high,1612
user-circle-2,1612
luggage,1611
panel-top,1607
fold-vertical,1606
text-align-start,1602
phone-missed,1601
music-2,1598
origami,1598
triangle-dashed,1595
replace-all,1592
receipt-euro,1591
text-select,1590
wifi-zero,1588
undo-dot,1588
clock-check,1583
wallet-minimal,1583
cherry,1583
file-type-corner,1581
concierge-bell,1576
